date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:27	364078/364078	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Mar%202019%2002:17:30%20GMT	http://bunagcorteslaw.com/wp-content/uploads/2019/03/slide2.jpg	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/uploads/2019/03/slide2.jpg	(from http://bunagcorteslaw.com/)
13:44:28	10312/10312	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Oct%202019%2002:03:07%20GMT	http://bunagcorteslaw.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.1.1	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/themes/astra/assets/js/minified/style.mine1fc.js	(from http://bunagcorteslaw.com/)
13:44:30	14440/14440	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jan%202020%2012:55:03%20GMT	http://bunagcorteslaw.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.6	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/contact-form-7/includes/js/scriptsb62d.js	(from http://bunagcorteslaw.com/)
13:44:32	1403/1403	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2012:40:26%20GMT	http://bunagcorteslaw.com/wp-includes/js/wp-embed.min.js?ver=5.1.3	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-includes/js/wp-embed.minbdeb.js	(from http://bunagcorteslaw.com/)
13:44:43	126538/126538	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2002:06:20%20GMT	http://bunagcorteslaw.com/wp-content/uploads/2019/10/lawyer6.jpg	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/uploads/2019/10/lawyer6.jpg	(from http://bunagcorteslaw.com/)
13:44:44	81009/81009	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:44:28%20GMT	http://bunagcorteslaw.com/what-do-we-do/	/Users/francis/websites/bcslaw/bunagcorteslaw.com/what-do-we-do/index.html	(from http://bunagcorteslaw.com/)
13:44:46	59625/59625	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=2.8.4	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/js/frontend-modules.min5e0b.js	(from http://bunagcorteslaw.com/)
13:44:46	6527/6527	---M--	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2005:40:34%20GMT	http://bunagcorteslaw.com/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-includes/js/jquery/ui/position.mine899.js	(from http://bunagcorteslaw.com/)
13:44:46	169320/169320	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Mar%202019%2003:14:03%20GMT	http://bunagcorteslaw.com/wp-content/uploads/2019/03/LAWYER2.jpg	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/uploads/2019/03/LAWYER2.jpg	(from http://bunagcorteslaw.com/)
13:44:48	10681/10681	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.3	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.minfe9d.js	(from http://bunagcorteslaw.com/)
